task_count,completed_tasks,pending_tasks,team_size,average_completion_time,resource_allocation,historical_delays,blocker_count,predicted_delay_days,risk_level
56,53,3,17,40.5,0.04,2.0,3,9.1,HIGH
108,20,88,6,30.5,2.93,2.3,2,16.5,HIGH
64,50,14,22,27.4,0.13,0.9,2,4.3,MEDIUM
177,41,136,16,19.4,1.7,1.4,2,7.4,HIGH
61,46,15,18,36.7,0.17,1.7,3,9.0,HIGH
153,108,45,19,18.1,0.47,0.4,5,8.3,HIGH
22,7,15,6,37.0,0.5,1.8,3,8.5,HIGH
123,42,81,14,8.9,1.16,5.0,1,6.0,MEDIUM
133,101,32,20,42.3,0.32,5.3,1,7.2,HIGH
115,53,62,14,27.0,0.89,1.6,5,12.9,HIGH
167,118,49,19,24.4,0.52,2.2,0,2.7,MEDIUM
156,28,128,15,31.7,1.71,0.1,2,8.6,HIGH
154,125,29,5,32.2,1.16,3.4,0,9.2,HIGH
129,88,41,5,11.5,1.64,1.6,3,7.0,MEDIUM
72,62,10,21,37.8,0.1,1.8,0,5.2,MEDIUM
28,4,24,21,17.6,0.23,6.2,1,5.2,MEDIUM
101,58,43,20,44.0,0.43,1.9,4,11.7,HIGH
67,39,28,14,40.3,0.4,0.1,6,13.1,HIGH
192,70,122,13,20.5,1.88,0.8,0,8.4,HIGH
99,45,54,8,39.9,1.35,1.9,3,14.7,HIGH
126,10,116,26,21.0,0.89,1.7,5,11.1,HIGH
71,51,20,13,10.2,0.31,5.9,2,5.7,MEDIUM
32,17,15,22,46.4,0.14,2.3,4,13.5,HIGH
136,13,123,5,33.4,4.92,3.5,4,31.4,HIGH
146,96,50,28,25.2,0.36,1.9,4,10.0,HIGH
149,70,79,3,22.7,5.27,1.7,5,33.5,HIGH
138,11,127,3,19.6,8.47,1.8,3,45.0,HIGH
67,61,6,6,47.2,0.2,1.6,0,6.0,MEDIUM
131,118,13,24,11.7,0.11,2.3,3,6.4,MEDIUM
10,5,5,11,19.2,0.09,0.9,0,0.0,LOW
43,5,38,11,26.4,0.69,6.7,0,5.0,MEDIUM
105,76,29,10,26.1,0.58,1.2,4,10.0,HIGH
135,66,69,14,25.8,0.99,0.5,3,8.1,HIGH
127,40,87,8,13.4,2.17,0.3,2,13.6,HIGH
57,28,29,6,12.1,0.97,0.0,2,5.5,MEDIUM
98,50,48,27,16.7,0.36,1.6,1,1.1,LOW
126,70,56,11,44.4,1.02,0.6,2,6.6,MEDIUM
138,61,77,11,10.7,1.4,0.1,2,7.4,HIGH
25,14,11,7,37.8,0.31,2.2,4,11.4,HIGH
198,173,25,28,37.8,0.18,3.4,4,13.2,HIGH
78,29,49,29,40.0,0.34,0.3,1,5.3,MEDIUM
31,21,10,20,43.2,0.1,1.9,1,6.5,MEDIUM
102,87,15,22,17.0,0.14,4.1,3,7.2,HIGH
85,39,46,9,15.4,1.02,12.8,3,12.0,HIGH
163,73,90,2,25.6,9.0,3.3,1,45.0,HIGH
153,90,63,29,17.1,0.43,0.8,0,2.3,MEDIUM
188,109,79,18,36.8,0.88,3.8,3,10.4,HIGH
95,73,22,8,32.7,0.55,2.7,2,8.7,HIGH
194,92,102,15,42.7,1.36,0.7,1,11.1,HIGH
38,35,3,22,9.5,0.03,5.7,3,9.1,HIGH
78,8,70,22,44.4,0.64,1.7,3,9.0,HIGH
56,2,54,18,18.3,0.6,9.8,0,5.0,MEDIUM
103,64,39,10,26.6,0.78,3.9,2,8.5,HIGH
199,63,136,18,24.4,1.51,3.1,2,10.7,HIGH
153,40,113,6,37.9,3.77,3.9,2,23.6,HIGH
185,61,124,27,23.7,0.92,2.0,1,7.2,HIGH
94,26,68,26,45.6,0.52,2.1,4,12.1,HIGH
48,3,45,21,43.9,0.43,5.7,6,17.4,HIGH
109,100,9,9,42.6,0.2,3.4,1,7.8,HIGH
42,10,32,7,9.0,0.91,6.8,3,11.2,HIGH
110,78,32,12,41.9,0.53,6.6,3,13.6,HIGH
32,23,9,20,38.8,0.09,11.3,2,12.2,HIGH
19,16,3,5,10.3,0.12,3.6,6,12.3,HIGH
78,6,72,19,10.5,0.76,2.1,2,4.3,MEDIUM
109,90,19,2,10.2,1.9,0.5,3,10.3,HIGH
43,22,21,14,6.5,0.3,3.7,2,4.1,MEDIUM
189,117,72,15,29.0,0.96,1.0,3,8.5,HIGH
147,92,55,25,46.9,0.44,1.0,4,12.2,HIGH
156,122,34,2,24.4,3.4,0.8,1,13.8,HIGH
195,68,127,12,28.7,2.12,6.2,2,14.0,HIGH
105,74,31,18,46.7,0.34,6.1,4,13.3,HIGH
10,5,5,5,16.7,0.2,3.0,3,5.3,MEDIUM
78,59,19,27,42.1,0.14,1.9,0,5.1,MEDIUM
13,12,1,13,28.9,0.02,3.3,4,9.2,HIGH
25,5,20,11,29.9,0.36,2.8,3,9.2,HIGH
33,31,2,7,20.4,0.06,1.6,0,0.7,LOW
89,11,78,26,29.6,0.6,1.4,2,6.9,MEDIUM
11,0,11,2,9.1,1.1,1.4,3,10.8,HIGH
137,12,125,8,38.1,3.12,2.7,3,21.8,HIGH
169,60,109,27,18.0,0.81,3.1,3,7.1,HIGH
93,57,36,28,43.3,0.26,1.8,3,11.7,HIGH
161,18,143,22,21.4,1.3,10.4,4,16.2,HIGH
149,8,141,29,12.0,0.97,0.3,4,9.4,HIGH
187,167,20,17,35.2,0.24,1.3,3,7.8,HIGH
172,135,37,25,12.9,0.3,1.6,3,7.3,HIGH
133,103,30,15,37.7,0.4,0.1,6,13.1,HIGH
42,35,7,24,46.7,0.06,1.4,1,8.5,HIGH
170,115,55,21,38.7,0.52,1.0,4,11.1,HIGH
198,28,170,21,6.9,1.62,2.1,1,6.1,MEDIUM
188,76,112,7,31.2,3.2,1.2,2,18.9,HIGH
180,126,54,23,35.2,0.47,3.9,4,13.6,HIGH
110,33,77,26,40.7,0.59,2.1,1,10.3,HIGH
21,14,7,29,8.4,0.05,0.4,1,1.9,LOW
76,5,71,6,26.2,2.37,4.2,1,12.2,HIGH
74,24,50,25,28.5,0.4,0.3,1,3.5,MEDIUM
170,92,78,22,13.1,0.71,5.5,3,6.8,MEDIUM
177,109,68,19,19.5,0.72,8.0,2,7.3,HIGH
83,47,36,16,24.5,0.45,1.2,6,12.6,HIGH
52,35,17,7,41.0,0.49,7.8,1,10.8,HIGH
53,2,51,26,45.0,0.39,4.7,1,7.6,HIGH
38,5,33,20,32.4,0.33,7.7,2,10.4,HIGH
150,124,26,2,22.6,2.6,3.3,2,13.6,HIGH
21,13,8,2,16.7,0.8,0.8,3,6.1,MEDIUM
104,15,89,14,47.2,1.27,6.7,0,8.9,HIGH
55,44,11,4,47.3,0.55,0.6,3,12.6,HIGH
139,37,102,11,44.8,1.85,0.7,0,11.8,HIGH
44,21,23,22,39.0,0.21,0.9,1,5.0,MEDIUM
90,16,74,4,19.7,3.7,1.1,4,21.3,HIGH
99,68,31,10,40.3,0.62,2.2,2,9.9,HIGH
17,11,6,9,23.2,0.13,3.7,1,6.5,MEDIUM
102,24,78,4,19.7,3.9,7.8,2,24.8,HIGH
163,134,29,26,37.3,0.22,0.3,3,8.2,HIGH
99,40,59,14,9.3,0.84,9.3,2,8.6,HIGH
171,53,118,7,8.0,3.37,7.6,2,18.0,HIGH
124,23,101,14,24.8,1.44,0.2,4,10.6,HIGH
114,33,81,24,24.7,0.68,1.3,3,8.3,HIGH
144,10,134,21,43.6,1.28,5.0,2,10.6,HIGH
67,38,29,21,11.3,0.28,2.8,2,4.3,MEDIUM
123,99,24,13,11.2,0.37,4.5,0,2.9,MEDIUM
84,45,39,14,12.2,0.56,3.8,3,5.7,MEDIUM
166,41,125,3,7.2,8.33,2.1,3,45.0,HIGH
129,10,119,22,9.0,1.08,0.1,1,5.3,MEDIUM
173,42,131,25,33.7,1.05,2.6,4,13.1,HIGH
30,12,18,24,24.1,0.15,0.1,1,2.6,MEDIUM
173,126,47,17,38.1,0.55,2.8,1,8.7,HIGH
147,32,115,24,47.7,0.96,4.8,2,13.7,HIGH
110,76,34,7,33.7,0.97,2.6,1,7.9,HIGH
161,133,28,20,8.1,0.28,17.4,4,14.2,HIGH
186,85,101,22,10.4,0.92,1.8,0,2.0,LOW
108,85,23,14,43.0,0.33,4.1,3,10.7,HIGH
45,24,21,18,28.2,0.23,3.3,4,11.4,HIGH
105,65,40,24,40.6,0.33,14.3,1,14.0,HIGH
161,84,77,10,42.0,1.54,3.7,3,13.3,HIGH
160,74,86,18,45.0,0.96,0.5,3,11.3,HIGH
199,51,148,3,45.9,9.87,9.3,3,45.0,HIGH
46,14,32,20,29.3,0.32,3.3,5,11.5,HIGH
21,6,15,20,20.3,0.15,0.2,0,0.0,LOW
122,67,55,25,46.4,0.44,3.2,5,15.3,HIGH
192,30,162,8,29.0,4.05,6.4,3,24.5,HIGH
22,19,3,23,8.7,0.03,2.6,1,2.0,LOW
32,22,10,11,33.0,0.18,1.3,1,5.0,MEDIUM
108,44,64,11,30.7,1.16,5.2,3,10.1,HIGH
114,21,93,28,43.6,0.66,4.6,2,9.7,HIGH
39,32,7,21,33.4,0.07,2.4,1,4.0,MEDIUM
26,20,6,10,20.7,0.12,0.5,3,7.3,HIGH
122,85,37,18,46.6,0.41,0.9,7,18.8,HIGH
71,20,51,28,39.7,0.36,4.0,2,8.2,HIGH
93,38,55,16,32.5,0.69,4.9,3,14.1,HIGH
121,17,104,3,18.3,6.93,1.0,2,34.7,HIGH
95,20,75,5,21.7,3.0,1.4,4,18.6,HIGH
150,113,37,20,34.1,0.37,0.2,2,7.4,HIGH
196,135,61,18,9.0,0.68,3.7,6,13.3,HIGH
28,16,12,6,16.8,0.4,0.0,6,10.2,HIGH
186,159,27,8,36.0,0.68,0.1,5,13.9,HIGH
109,62,47,19,26.2,0.49,0.0,3,8.9,HIGH
149,70,79,22,22.9,0.72,3.1,3,8.7,HIGH
198,70,128,23,12.4,1.11,1.6,2,6.2,MEDIUM
156,139,17,28,24.6,0.12,1.1,3,6.1,MEDIUM
85,10,75,8,38.4,1.88,7.3,0,10.4,HIGH
18,15,3,18,17.1,0.03,0.6,1,1.1,LOW
37,29,8,8,6.2,0.2,1.5,2,4.9,MEDIUM
137,22,115,5,34.1,4.6,8.5,1,27.4,HIGH
61,34,27,9,46.9,0.6,1.7,4,12.8,HIGH
92,76,16,14,31.5,0.23,2.4,3,7.9,HIGH
120,67,53,5,11.0,2.12,0.3,3,10.9,HIGH
153,132,21,7,19.5,0.6,4.7,4,10.1,HIGH
126,113,13,26,42.4,0.1,1.6,2,7.9,HIGH
78,33,45,6,15.8,1.5,4.8,7,16.5,HIGH
108,42,66,13,31.5,1.02,0.9,2,7.6,HIGH
149,133,16,5,22.9,0.64,1.6,2,5.5,MEDIUM
34,22,12,25,14.7,0.1,4.6,1,3.7,MEDIUM
189,29,160,10,40.2,3.2,10.9,4,27.5,HIGH
132,11,121,5,37.2,4.84,0.2,2,26.8,HIGH
62,34,28,20,33.8,0.28,5.0,2,5.6,MEDIUM
160,141,19,25,15.9,0.15,1.1,1,0.7,LOW
153,123,30,15,10.1,0.4,2.4,1,4.7,MEDIUM
66,43,23,6,30.2,0.77,1.0,4,11.8,HIGH
48,8,40,19,29.3,0.42,2.9,2,8.1,HIGH
118,32,86,11,13.9,1.56,1.3,3,9.6,HIGH
190,159,31,26,8.4,0.24,1.2,0,2.2,MEDIUM
51,10,41,20,9.4,0.41,0.1,3,5.4,MEDIUM
195,58,137,13,47.7,2.11,0.5,0,11.7,HIGH
176,29,147,19,38.9,1.55,7.5,2,12.3,HIGH
151,99,52,18,44.7,0.58,19.1,2,16.2,HIGH
131,117,14,25,14.2,0.11,4.5,2,7.5,HIGH
142,41,101,12,46.3,1.68,1.0,2,11.5,HIGH
172,82,90,4,12.0,4.5,1.5,2,21.5,HIGH
84,52,32,24,27.4,0.27,4.0,2,6.9,MEDIUM
155,147,8,18,40.8,0.09,10.4,1,9.2,HIGH
85,12,73,2,20.7,7.3,1.8,1,37.2,HIGH
18,8,10,16,23.8,0.12,5.3,2,7.7,HIGH
83,32,51,29,11.4,0.35,11.1,1,6.4,MEDIUM
195,161,34,10,11.2,0.68,6.2,4,12.9,HIGH
154,73,81,16,32.0,1.01,0.8,2,9.7,HIGH
16,2,14,29,34.4,0.1,0.0,4,8.5,HIGH
183,113,70,25,38.6,0.56,2.0,2,8.6,HIGH
150,111,39,29,29.4,0.27,2.3,1,5.8,MEDIUM
177,9,168,4,33.1,8.4,0.7,2,44.7,HIGH
179,147,32,23,6.6,0.28,1.0,7,9.7,HIGH
146,31,115,28,12.8,0.82,4.3,1,7.5,HIGH
187,102,85,20,47.4,0.85,1.9,7,17.2,HIGH
36,15,21,14,9.2,0.3,1.1,1,3.7,MEDIUM
131,91,40,13,34.5,0.62,2.9,4,12.6,HIGH
14,5,9,21,13.4,0.09,3.2,2,3.7,MEDIUM
38,31,7,2,36.1,0.7,4.4,2,11.9,HIGH
174,123,51,22,35.7,0.46,0.5,3,9.1,HIGH
175,110,65,18,15.8,0.72,4.1,5,11.4,HIGH
92,70,22,14,17.3,0.31,2.7,5,8.1,HIGH
145,105,40,2,33.5,4.0,0.2,1,18.3,HIGH
118,9,109,11,22.4,1.98,4.5,3,13.2,HIGH
74,29,45,16,14.2,0.56,1.4,2,6.6,MEDIUM
95,84,11,28,36.7,0.08,1.2,4,7.9,HIGH
154,25,129,28,12.5,0.92,1.8,3,7.8,HIGH
80,57,23,8,41.9,0.57,1.3,0,5.8,MEDIUM
54,50,4,29,27.6,0.03,1.2,2,7.0,MEDIUM
141,13,128,23,10.4,1.11,5.0,3,10.5,HIGH
45,29,16,19,35.2,0.17,0.4,3,8.4,HIGH
79,37,42,17,27.8,0.49,10.6,5,15.0,HIGH
168,95,73,15,18.5,0.97,2.4,0,2.7,MEDIUM
28,3,25,28,23.7,0.18,0.6,6,10.0,HIGH
198,17,181,29,18.5,1.25,0.4,2,5.8,MEDIUM
117,76,41,19,17.0,0.43,2.7,2,4.1,MEDIUM
191,151,40,28,12.9,0.29,3.0,3,6.5,MEDIUM
176,132,44,8,21.2,1.1,0.2,4,9.7,HIGH
100,53,47,18,16.5,0.52,0.8,0,1.2,LOW
99,13,86,19,34.7,0.91,4.8,4,13.3,HIGH
28,18,10,13,34.7,0.15,0.2,2,5.9,MEDIUM
48,12,36,9,27.1,0.8,5.8,4,13.2,HIGH
135,117,18,23,38.7,0.16,3.2,1,6.9,MEDIUM
182,146,36,3,41.3,2.4,1.7,2,15.2,HIGH
150,103,47,8,30.4,1.18,1.3,2,7.1,HIGH
135,122,13,5,32.0,0.52,0.1,0,3.5,MEDIUM
67,5,62,19,17.9,0.65,5.2,1,6.8,MEDIUM
157,111,46,29,43.6,0.32,0.5,3,10.6,HIGH
70,24,46,7,7.0,1.31,1.1,3,9.1,HIGH
136,117,19,28,20.6,0.14,2.5,1,4.5,MEDIUM
114,33,81,10,36.3,1.62,0.8,2,12.0,HIGH
176,123,53,28,9.4,0.38,2.1,1,4.3,MEDIUM
10,8,2,10,13.7,0.04,5.0,3,7.1,HIGH
140,12,128,15,30.8,1.71,1.9,3,11.8,HIGH
101,41,60,9,29.5,1.33,8.9,1,11.2,HIGH
199,146,53,20,37.0,0.53,5.6,3,8.5,HIGH
122,56,66,4,40.1,3.3,1.2,0,18.4,HIGH
162,47,115,19,11.4,1.21,1.5,2,7.4,HIGH
65,16,49,6,6.8,1.63,1.7,4,13.1,HIGH
170,28,142,15,35.0,1.89,3.0,2,11.3,HIGH
175,143,32,29,18.7,0.22,1.0,3,7.5,HIGH
126,71,55,5,32.3,2.2,10.4,3,19.2,HIGH
143,16,127,8,12.3,3.18,2.8,2,15.8,HIGH
67,26,41,21,25.7,0.39,1.5,3,7.6,HIGH
53,20,33,26,27.2,0.25,3.1,1,4.8,MEDIUM
182,38,144,29,30.6,0.99,1.5,1,6.2,MEDIUM
169,74,95,13,27.6,1.46,5.1,2,8.6,HIGH
182,63,119,3,26.8,7.93,2.5,4,45.0,HIGH
70,25,45,12,20.0,0.75,0.1,5,9.2,HIGH
56,40,16,15,9.0,0.21,0.6,4,5.9,MEDIUM
158,39,119,23,9.8,1.03,6.0,2,9.4,HIGH
89,55,34,24,24.2,0.28,2.5,2,4.4,MEDIUM
127,71,56,17,20.9,0.66,9.0,0,5.5,MEDIUM
173,97,76,21,27.7,0.72,0.2,1,3.9,MEDIUM
156,100,56,7,18.8,1.6,1.0,4,13.1,HIGH
29,15,14,24,34.9,0.12,0.6,2,7.9,HIGH
194,163,31,5,42.3,1.24,2.4,4,13.1,HIGH
155,101,54,16,18.6,0.68,1.4,1,2.9,MEDIUM
56,30,26,25,14.1,0.21,0.5,4,8.0,HIGH
58,46,12,26,10.9,0.09,3.1,5,10.0,HIGH
23,13,10,2,31.9,1.0,2.3,3,9.9,HIGH
152,47,105,8,24.6,2.62,1.0,1,12.0,HIGH
168,39,129,26,13.9,0.99,2.0,2,6.0,MEDIUM
10,1,9,13,33.4,0.14,4.1,1,7.2,HIGH
126,108,18,11,12.2,0.33,0.7,2,6.1,MEDIUM
63,43,20,6,29.3,0.67,1.0,2,9.3,HIGH
127,113,14,13,28.1,0.22,1.3,5,9.9,HIGH
12,7,5,19,36.8,0.05,4.1,1,6.6,MEDIUM
153,72,81,11,8.3,1.47,5.6,0,7.2,HIGH
194,20,174,7,43.3,4.97,1.4,2,28.4,HIGH
21,13,8,29,35.5,0.06,1.1,3,7.5,HIGH
83,47,36,13,15.1,0.55,6.6,2,8.0,HIGH
25,23,2,8,13.7,0.05,22.1,3,13.2,HIGH
111,29,82,19,24.1,0.86,3.3,1,4.3,MEDIUM
161,84,77,3,40.3,5.13,13.8,3,35.4,HIGH
165,104,61,11,41.4,1.11,3.2,4,15.2,HIGH
126,79,47,16,27.9,0.59,4.0,0,5.0,MEDIUM
17,9,8,13,42.2,0.12,1.5,3,7.7,HIGH
131,98,33,27,6.2,0.24,1.7,9,14.9,HIGH
101,23,78,18,7.5,0.87,0.5,3,9.1,HIGH
173,121,52,5,44.3,2.08,5.2,3,17.5,HIGH
99,60,39,8,38.6,0.98,8.0,2,11.7,HIGH
145,124,21,10,24.9,0.42,2.9,5,11.5,HIGH
195,158,37,20,37.7,0.37,1.3,1,6.4,MEDIUM
69,23,46,29,46.1,0.32,0.5,4,11.4,HIGH
187,55,132,28,38.4,0.94,0.9,0,7.5,HIGH
37,34,3,24,41.4,0.02,0.9,6,13.3,HIGH
110,57,53,8,37.9,1.32,2.9,2,11.8,HIGH
50,43,7,24,13.1,0.06,8.7,1,7.4,HIGH
164,32,132,3,41.0,8.8,0.1,2,45.0,HIGH
154,96,58,7,14.2,1.66,0.0,2,6.2,MEDIUM
170,132,38,19,43.5,0.4,2.8,4,12.8,HIGH
166,149,17,7,25.3,0.49,1.0,4,8.6,HIGH
150,53,97,14,34.4,1.39,6.4,1,11.1,HIGH
55,38,17,27,26.9,0.13,1.2,4,9.0,HIGH
44,23,21,20,9.9,0.21,1.0,3,5.5,MEDIUM
143,14,129,3,18.2,8.6,0.9,2,43.3,HIGH
91,61,30,13,47.3,0.46,0.5,2,6.9,MEDIUM
124,83,41,16,46.4,0.51,2.6,2,9.0,HIGH
56,49,7,15,19.5,0.09,0.6,1,3.4,MEDIUM
162,80,82,7,47.8,2.34,1.7,2,17.9,HIGH
19,4,15,19,41.5,0.16,1.9,2,7.8,HIGH
65,5,60,6,31.7,2.0,0.1,2,10.5,HIGH
39,16,23,19,7.7,0.24,0.1,2,4.0,MEDIUM
118,37,81,4,43.9,4.05,2.2,2,25.8,HIGH
14,10,4,4,29.4,0.2,3.6,4,11.2,HIGH
128,47,81,23,42.5,0.7,8.5,2,12.4,HIGH
42,37,5,23,41.0,0.04,0.6,1,8.2,HIGH
127,116,11,11,41.0,0.2,0.3,1,7.4,HIGH
74,45,29,20,35.3,0.29,0.2,1,3.8,MEDIUM
155,137,18,4,18.2,0.9,1.7,3,6.1,MEDIUM
186,136,50,13,20.1,0.77,2.9,0,2.2,MEDIUM
20,10,10,17,19.0,0.12,5.5,2,7.5,HIGH
94,19,75,18,6.8,0.83,3.4,3,6.0,MEDIUM
35,16,19,8,30.5,0.48,0.7,4,10.5,HIGH
72,39,33,14,35.4,0.47,1.9,4,10.9,HIGH
95,78,17,25,41.9,0.14,7.2,2,8.8,HIGH
68,32,36,3,11.9,2.4,1.2,4,15.3,HIGH
36,30,6,5,28.9,0.24,2.1,3,7.9,HIGH
186,122,64,11,6.3,1.16,9.6,7,18.6,HIGH
170,29,141,8,10.0,3.52,4.0,3,18.4,HIGH
107,101,6,25,8.3,0.05,4.1,1,2.3,MEDIUM
114,59,55,18,36.5,0.61,0.9,1,5.4,MEDIUM
108,43,65,21,9.4,0.62,1.6,3,7.6,HIGH
138,88,50,7,36.1,1.43,0.3,1,7.7,HIGH
158,23,135,20,16.5,1.35,2.8,3,10.4,HIGH
64,39,25,6,42.9,0.83,0.3,2,8.7,HIGH
15,7,8,11,40.2,0.15,5.4,1,8.0,HIGH
104,43,61,10,46.2,1.22,5.1,0,11.1,HIGH
142,128,14,28,43.1,0.1,2.3,1,4.7,MEDIUM
111,57,54,14,45.2,0.77,0.5,1,8.0,HIGH
12,2,10,20,42.1,0.1,0.1,0,4.1,MEDIUM
190,87,103,22,35.1,0.94,4.8,1,7.5,HIGH
32,28,4,25,13.2,0.03,2.7,3,5.8,MEDIUM
62,12,50,7,17.4,1.43,3.7,1,6.9,MEDIUM
174,42,132,5,14.9,5.28,1.1,1,24.4,HIGH
92,5,87,25,31.4,0.7,2.1,3,9.6,HIGH
154,9,145,28,27.2,1.04,4.1,1,6.0,MEDIUM
94,74,20,4,42.4,1.0,1.9,3,11.5,HIGH
87,61,26,4,46.0,1.3,2.8,7,20.9,HIGH
119,43,76,5,23.0,3.04,4.7,3,20.4,HIGH
10,6,4,26,27.3,0.03,0.7,3,8.2,HIGH
60,24,36,6,46.8,1.2,0.2,2,10.5,HIGH
182,165,17,9,17.6,0.38,2.3,1,3.2,MEDIUM
13,11,2,17,39.3,0.02,0.2,8,17.3,HIGH
199,80,119,23,15.5,1.03,4.4,4,11.9,HIGH
122,99,23,4,34.6,1.15,3.8,2,10.2,HIGH
41,30,11,25,16.7,0.09,6.4,3,9.5,HIGH
43,14,29,13,43.1,0.45,3.1,1,8.8,HIGH
101,26,75,26,29.6,0.58,0.2,1,4.3,MEDIUM
104,48,56,9,13.8,1.24,0.9,1,4.2,MEDIUM
81,61,20,14,15.4,0.29,4.9,1,4.2,MEDIUM
48,43,5,5,26.7,0.2,0.5,4,6.8,MEDIUM
163,120,43,15,46.4,0.57,3.6,3,11.4,HIGH
171,140,31,15,38.3,0.41,4.5,2,10.6,HIGH
191,113,78,14,26.5,1.11,1.2,2,9.4,HIGH
127,101,26,28,20.2,0.19,1.2,4,8.3,HIGH
12,9,3,7,29.1,0.09,2.4,3,8.5,HIGH
132,51,81,18,37.4,0.9,5.9,2,10.4,HIGH
59,32,27,5,38.9,1.08,0.8,4,11.8,HIGH
21,16,5,9,19.6,0.11,8.5,3,9.7,HIGH
63,5,58,18,36.3,0.64,2.7,3,9.8,HIGH
142,110,32,4,33.6,1.6,14.5,5,22.4,HIGH
66,13,53,18,46.3,0.59,0.3,1,8.1,HIGH
154,79,75,10,45.1,1.5,0.4,2,11.6,HIGH
121,94,27,3,39.2,1.8,5.3,4,15.7,HIGH
56,15,41,26,36.4,0.32,6.0,5,11.4,HIGH
160,43,117,14,17.5,1.67,1.8,1,7.4,HIGH
94,38,56,21,41.5,0.53,3.8,5,14.0,HIGH
151,129,22,3,24.0,1.47,6.1,3,12.9,HIGH
75,3,72,21,17.4,0.69,0.1,3,5.5,MEDIUM
84,72,12,29,22.1,0.08,2.6,1,3.1,MEDIUM
188,35,153,12,41.1,2.55,5.8,3,21.1,HIGH
112,105,7,28,12.2,0.05,1.5,4,7.6,HIGH
175,159,16,27,25.2,0.12,1.1,1,2.5,MEDIUM
47,23,24,23,26.7,0.21,4.8,3,8.8,HIGH
59,30,29,16,7.5,0.36,1.2,5,11.6,HIGH
107,51,56,12,14.2,0.93,0.0,0,2.3,MEDIUM
91,56,35,24,40.7,0.29,9.6,1,9.6,HIGH
39,5,34,4,40.9,1.7,2.7,1,11.9,HIGH
88,6,82,4,18.3,4.1,5.1,2,23.0,HIGH
100,10,90,29,42.7,0.62,5.2,3,14.0,HIGH
188,84,104,27,38.4,0.77,0.2,2,9.3,HIGH
61,18,43,13,23.6,0.66,0.6,0,3.9,MEDIUM
175,106,69,25,37.4,0.55,1.1,2,9.9,HIGH
88,83,5,6,46.4,0.17,1.2,5,13.1,HIGH
39,15,24,21,25.3,0.23,3.2,5,10.5,HIGH
115,65,50,8,16.0,1.25,2.9,3,7.2,HIGH
60,25,35,8,45.6,0.88,2.0,4,13.3,HIGH
90,73,17,14,31.4,0.24,0.7,3,6.4,MEDIUM
142,122,20,10,10.4,0.4,1.4,2,5.1,MEDIUM
38,31,7,26,30.1,0.05,2.4,2,5.7,MEDIUM
141,130,11,22,27.0,0.1,1.9,2,7.0,MEDIUM
147,10,137,14,41.9,1.96,0.4,2,14.0,HIGH
193,155,38,13,28.3,0.58,3.1,4,10.3,HIGH
154,111,43,14,16.7,0.61,0.2,1,4.3,MEDIUM
83,21,62,25,34.4,0.5,1.4,3,9.4,HIGH
26,23,3,11,28.8,0.05,3.7,0,1.4,LOW
93,17,76,2,15.8,7.6,0.1,4,40.7,HIGH
78,51,27,26,30.1,0.21,2.5,5,10.7,HIGH
43,10,33,9,40.5,0.73,1.2,4,12.2,HIGH
15,6,9,23,7.2,0.08,0.0,4,6.1,MEDIUM
62,43,19,17,32.5,0.22,0.6,2,5.8,MEDIUM
135,75,60,14,20.7,0.86,8.5,2,9.9,HIGH
52,22,30,4,18.3,1.5,2.2,3,10.3,HIGH
124,42,82,4,22.5,4.1,17.7,3,29.1,HIGH
120,96,24,25,20.4,0.19,2.2,2,4.1,MEDIUM
160,28,132,6,41.0,4.4,2.4,2,28.0,HIGH
192,83,109,27,17.5,0.81,1.5,1,7.5,HIGH
89,76,13,12,36.8,0.22,1.1,2,6.1,MEDIUM
104,84,20,8,10.0,0.5,0.9,3,7.4,HIGH
127,52,75,22,46.0,0.68,1.3,2,9.6,HIGH
153,112,41,25,32.1,0.33,1.8,2,7.9,HIGH
17,13,4,11,35.7,0.07,0.6,3,7.0,MEDIUM
141,119,22,11,18.5,0.4,0.8,3,4.9,MEDIUM
113,61,52,21,23.3,0.5,1.0,3,6.1,MEDIUM
141,32,109,3,15.4,7.27,1.8,4,40.1,HIGH
193,53,140,4,45.2,7.0,3.2,1,39.2,HIGH
34,10,24,9,26.5,0.53,5.8,2,9.4,HIGH
105,61,44,12,32.5,0.73,1.0,2,6.7,MEDIUM
164,13,151,14,36.8,2.16,0.6,3,14.2,HIGH
102,63,39,8,21.6,0.98,1.4,4,12.5,HIGH
169,63,106,14,36.2,1.51,6.7,2,12.4,HIGH
187,59,128,3,34.4,8.53,0.0,1,45.0,HIGH
70,58,12,7,35.6,0.34,3.4,3,10.8,HIGH
131,60,71,10,26.5,1.42,1.9,5,12.9,HIGH
60,8,52,21,22.1,0.5,0.5,6,11.8,HIGH
156,123,33,26,15.3,0.25,1.2,1,2.3,MEDIUM
30,2,28,3,40.6,1.87,0.8,1,10.8,HIGH
14,9,5,19,31.6,0.05,6.3,3,10.8,HIGH
101,75,26,17,24.7,0.31,2.0,3,8.4,HIGH
179,65,114,26,45.6,0.88,2.5,1,6.3,MEDIUM
70,55,15,13,8.0,0.23,2.7,3,7.6,HIGH
31,15,16,8,41.7,0.4,3.1,2,8.8,HIGH
158,73,85,8,47.9,2.12,2.1,5,20.7,HIGH
79,7,72,18,43.3,0.8,0.1,4,11.8,HIGH
